Image 1119,Image 1135
2.399,2.35
7.464,2.955
1.735,3.805
0.421,3.552
5.647,4.062
4.048,4.522
1.735,2.813
3.869,2.732
1.603,4.841
4.706,2.943
2.267,3.552
2.543,4.58
2.931,6.307
5.324,4.034
1.331,5.744
2.808,4.669
1.073,5.998
1.735,6.568
2.454,5.382
3.621,3.805
3.993,3.186
2.167,3.423
4.989,4.062
2.146,4.58
3.596,6.912
4.135,5.184
2.543,5.015
2.104,3.94
5.93,5.532
6.135,6.494
7.941,4.771
4.706,5.763
6.588,4.925
1.331,5.277
1.996,13.398
3.869,4.716
4.799,8.895
3.393,4.062
5.647,9.053
3.765,3.552
2.543,2.691
5.086,5.104
3.681,3.552
3.993,4.32
1.603,6.494
4.845,7.965
0.941,3.055
4.62,
4.706,
6.688,
2.167,
4.533,
4.533,
3.729,
3.205,
4.333,
4.048,
6.714,
2.679,
2.324,
4.908,
2.454,
4.533,
7.241,
5.647,
3.219,
2.56,
2.744,
1.073,
1.603,
2.808,
4.926,
6.922,
6.026,
3.765,
1.81,
4.048,
1.996,
3.765,
4.048,
2.146,
3.327,
3.993,
2.167,
2.167,
1.603,
1.488,
1.227,
4.145,
4.658,
3.869,
4.261,
2.931,
4.908,
2.695,
3.993,
1.684,
1.996,
6.07,
4.145,
2.167,
4.145,
4.553,
2.399,
4.424,
3.064,
3.765,
2.931,
8.386,
2.267,
1.19,
11.453,
2.267,
6.588,
4.424,
3.035,
2.744,
3.064,
4.62,
2.744,
6.306,
6.5,
4.808,
2.399,
2.823,
3.765,
3.483,
2.976,
4.145,
3.327,
3.681,
2.543,
3.681,
4.62,
1.331,
3.621,
5.198,
4.167,
5.365,
2.56,
6.135,
6.871,
2.543,
4.145,
3.107,
6.588,
2.823,
9.231,
1.882,
1.996,
1.735,
3.869,
7.296,
8.013,
2.324,
3.205,
3.765,
6.257,
2.744,
2.104,
1.882,
4.706,
3.681,
3.681,
4.394,
5.472,
3.971,
3.88,
5.488,
4.553,
4.394,
4.808,
1.996,
3.327,
2.931,
4.261,
6.871,
3.483,
5.592,
9.231,
6.306,
3.971,
3.869,
4.424,
5.198,
4.706,
6.8,
5.748,
2.324,
2.991,
3.393,
4.261,
2.543,
3.205,
4.261,
8.172,
4.333,
4.706,
5.274,
3.914,
3.219,
2.543,
3.393,
3.327,
4.261,
6.588,
4.261,
6.655,
4.989,
4.845,
4.989,
3.035,
4.333,
5.748,
4.474,
6.019,
15.341,
4.261,
5.472,
4.261,
4.209,
5.592,
6.608,
5.086,
2.399,
6.425,
3.869,
4.706,
5.472,
4.504,
3.205,
5.93,
3.765,
1.81,
1.331,
3.107,
4.771,
5.274,
6.5,
4.706,
4.808,
1.882,
0.941,
3.869,
4.333,
4.808,
3.107,
3.287,
7.857,
4.177,
7.296,
3.914,
4.333,
6.655,
5.748,
3.993,
7.074,
4.62,
5.592,
4.706,
7.623,
2.454,
2.976,
4.706,
6.257,
4.706,
4.989,
3.035,
5.324,
4.926,
3.765,
2.662,
2.976,
7.857,
4.261,
5.274,
3.869,
3.064,
6.026,
13.017,
4.658,
5.56,
5.93,
3.327,
4.048,
1.996,
5.094,
2.823,
5.717,
2.543,
2.454,
7.44,
5.725,
3.681,
4.209,
9.528,
4.553,
4.209,
6.313,
5.748,
7.351,
4.177,
9.341,
4.145,
11.407,
7.192,
2.083,
6.793,
4.908,
7.721,
3.869,
5.39,
6.026,
9.51,
3.035,
5.274,
4.926,
3.035,
3.729,
2.454,
4.533,
7.247,
6.5,
2.324,
2.454,
1.735,
6.527,
4.706,
3.035,
8.753,
3.107,
7.005,
4.553,
3.869,
4.771,
6.026,
3.064,
3.064,
3.621,
3.393,
5.365,
3.788,
2.267,
3.064,
4.394,
4.145,
3.471,
3.393,
4.953,
5.725,
1.518,
2.267,
2.399,
2.695,
2.324,
5.748,
4.209,
1.331,
3.064,
3.483,
4.333,
1.603,
3.869,
2.823,
6.588,
3.483,
4.167,
4.706,
4.908,
4.048,
4.394,
1.882,
2.931,
6.128,
2.167,
3.327,
2.267,
1.073,
2.744,
3.205,
0.665,
6.257,
7.363,
3.765,
