Image 0921,Image 1529
19.021,9.817
6.907,10.171
4.906,11.557
2.234,2.976
8.936,15.522
2.234,17.303
2.453,6.327
5.96,7.363
4.995,25.092
3.831,4.799
7.319,4.292
13.382,14.641
3.85,9.907
2.709,7.363
2.992,5.893
8.969,14.385
7.369,5.488
8.82,3.367
12.735,2.525
2.453,13.109
4.468,5.086
3.532,13.176
3.296,12.822
3.089,3.471
9.961,3.571
17.448,14.532
6.513,3.765
4.283,7.761
3.448,3.571
4.8,2.454
9.609,3.205
18.249,2.146
13.105,14.397
2.072,8.667
2.072,7.143
2.873,14.592
11.45,6.575
1.817,4.209
3.351,13.934
2.299,12.877
3.095,3.205
4.064,5.952
11.054,3.571
12.965,6.655
17.478,2.454
10.55,16.677
7.015,4.209
5.298,14.785
7.108,18.681
11.565,21.462
11.334,25.699
14.401,15.579
4.91,5.615
5.452,7.576
6.109,3.205
4.633,14.893
10.36,8.333
4.377,12.877
13.9,15.211
12.604,25.113
2.369,7.458
2.299,10.78
2.873,2.976
2.93,4.762
2.453,7.168
2.57,11.496
3.296,10.241
3.793,3.571
6.058,3.471
11.727,20.499
8.82,5.647
8.977,4.649
8.82,6.575
19.156,10.137
21.352,2.976
18.517,3.035
8.609,4.209
5.211,15.442
1.954,14.483
19.955,32.412
4.739,6.548
6.778,12.5
3.389,5.086
4.835,6.787
11.671,9.412
7.493,22.791
20.605,17.303
13.416,4.799
6.597,3.993
7.798,3.811
14.253,13.109
7.471,3.811
10.77,3.471
4.201,0.842
5.14,5.615
3.599,9.241
5.229,9.412
18.299,3.993
3.986,3.471
7.863,7.738
17.394,2.381
7.701,8.929
9.768,22.407
3.579,2.381
3.427,9.008
3.879,14.532
2.299,4.209
9.852,4.799
1.887,5.488
2.763,14.335
7.394,3.471
10.078,2.976
8.855,1.882
2.498,4.209
3.685,23.943
4.613,6.787
4.739,8.523
3.071,23.943
12.879,19.38
9.626,2.976
24.387,15.176
6.726,3.993
12.617,15.176
8.29,5.647
10.417,10.137
4.731,4.762
10.702,3.571
9.125,3.993
16.651,3.765
3.563,11.31
2.242,2.976
2.661,3.621
3.256,3.811
3.256,2.662
13.048,16.247
15.835,4.333
9.816,4.209
12.115,9.69
4.633,7.761
2.369,3.765
4.633,6.575
3.411,18.211
2.315,5.357
2.184,11.372
2.307,14.048
3.159,10.548
4.283,3.471
3.817,3.471
3.532,8.929
6.237,3.571
10.056,3.205
5.747,8.008
11.117,7.458
8.507,7.168
33.827,4.533
18.41,7.168
11.268,8.523
5.445,7.986
3.296,11.184
2.682,1.684
3.532,2.662
3.448,3.471
3.469,23.45
3.469,10.241
4.876,7.143
