Image 1540,Image 1544
11.296,2.381
3.614,5.982
3.177,12.56
8.426,10.718
18.927,15.303
21.687,12.63
8.455,6.306
2.108,15.999
1.905,13.947
4.84,1.518
1.763,2.662
2.748,1.786
2.769,0.842
2.694,1.19
2.294,0.893
2.048,0.595
1.205,3.571
1.601,1.488
31.414,4.845
8.658,2.695
3.627,1.19
3.327,2.267
2.41,1.603
1.958,3.287
2.108,2.454
1.807,1.786
1.364,2.808
1.355,2.991
12.554,0.893
1.483,2.381
3.046,1.073
2.694,1.263
2.108,0.842
1.287,1.331
1.506,2.991
2.156,1.996
2.259,1.603
1.506,3.811
3.664,1.684
3.987,0.893
10.242,2.976
2.108,2.744
6.669,5.725
2.299,5.274
3.464,1.518
6.116,5.357
1.096,4.209
1.287,2.976
2.428,2.991
2.897,1.073
2.414,7.167
2.711,2.454
1.483,8.631
1.483,8.677
2.021,12.404
2.021,1.518
1.205,1.331
0.753,3.064
1.958,3.274
1.981,2.991
7.477,3.274
1.514,6.257
2.114,2.146
2.924,5.779
5.382,4.808
4.972,2.083
0.811,3.88
1.096,2.931
1.536,3.164
0.904,2.454
5.764,2.543
3.916,2.823
8.668,5.198
1.813,29.84
2.578,4.048
3.792,7.738
2.156,31.149
2.13,34.334
3.618,9.037
1.205,2.679
2.6,3.914
0.753,1.518
1.572,4.474
2.56,3.971
9.944,11.395
4.386,2.399
4.573,1.488
1.863,4.424
2.484,0.595
0.952,15.21
2.294,4.881
1.958,1.81
18.228,1.518
3.441,1.331
3.792,1.488
3.145,2.679
0.904,1.81
1.242,1.786
1.905,1.882
1.929,0.893
4.541,1.906
4.041,1.603
4.252,2.083
8.482,4.292
7.207,2.083
1.483,1.488
0.964,3.327
1.287,2.976
1.964,2.976
1.176,3.327
2.681,2.931
3.177,3.064
0.852,3.483
1.551,1.996
0.952,1.603
3.979,1.735
3.105,1.263
1.205,6.278
2.009,4.167
1.514,7.005
1.763,11.849
1.429,4.177
0.964,2.167
0.602,1.882
1.065,4.881
3.384,2.823
1.807,3.914
1.684,4.177
1.536,2.991
2.83,4.799
3.916,2.324
3.58,1.786
1.296,1.81
5.866,0.893
2.909,2.991
2.484,2.991
1.572,2.381
3.313,1.684
2.578,1.263
38.663,1.227
4.573,4.333
6.382,1.331
2.897,1.882
2.748,2.381
1.832,1.488
1.065,1.882
1.054,3.729
3.643,5.725
1.065,0.941
3.258,4.048
5.006,7.351
4.429,2.991
5.794,1.882
1.483,1.81
1.347,1.227
0.213,1.518
0.602,1.227
1.863,1.488
1.657,3.164
2.264,1.331
5.659,4.23
1.684,4.424
1.958,2.744
0.916,14.776
9.511,5.847
2.484,3.633
4.336,2.381
5.305,6.278
1.887,10.249
17.192,3.571
2.634,2.991
20.992,1.073
0.213,2.976
4.97,2.267
4.241,2.808
3.916,6.257
0.753,1.488
11.906,4.261
2.352,2.381
3.907,1.882
2.114,2.399
1.421,4.464
2.428,2.525
8.256,23.466
2.694,2.931
2.294,2.543
1.572,3.393
1.981,2.976
3.664,2.679
2.452,4.553
1.506,4.553
2.304,2.823
1.147,3.483
1.214,3.274
1.807,4.474
1.054,1.263
0.768,1.996
1.807,16.53
1.483,42.646
4.45,5.431
2.352,4.167
1.355,5.12
2.428,4.799
1.506,8.465
0.753,3.471
1.684,2.823
9.309,1.882
3.618,1.786
2.092,10.158
2.428,2.946
2.048,2.56
18.893,2.454
1.838,0.298
5.363,2.543
4.707,2.662
3.916,1.488
7.418,0.595
11.299,0.298
3.344,1.518
2.098,3.219
1.905,1.073
7.833,2.931
1.096,2.662
1.065,8.793
1.763,4.799
2.304,2.946
1.054,3.811
2.172,1.906
3.384,1.331
4.478,1.073
4.135,0.665
1.347,1.518
1.214,6.019
2.114,6.07
3.503,5.068
3.513,2.662
2.842,6.787
2.967,5.094
4.429,3.205
1.958,4.845
0.904,1.603
6.143,1.81
7.235,2.167
2.877,0.893
10.928,1.603
3.467,11.219
3.942,5.615
3.643,4.394
3.872,2.399
3.303,2.744
8.151,3.035
7.279,2.679
7.568,1.263
1.813,3.471
15.247,1.488
4.553,2.324
11.659,2.695
2.414,3.993
2.108,12.271
1.905,1.882
1.086,2.104
3.191,1.19
5.049,3.393
1.347,1.073
2.484,2.823
20.882,11.641
16.566,5.779
1.813,3.869
1.054,3.596
1.242,8.753
1.887,1.81
2.63,2.543
1.242,3.993
3.384,21.758
2.63,5.488
2.669,4.261
2.021,2.976
1.717,3.274
5.006,19.299
2.573,3.367
1.065,3.729
1.176,3.869
0.878,7.761
1.929,3.287
1.506,4.209
3.467,3.274
3.195,2.976
2.857,7.44
2.264,4.135
1.601,7.074
3.441,4.908
0.904,3.274
4.857,1.684
18.68,1.263
2.452,2.324
37.723,1.906
3.927,4.135
3.667,2.083
2.452,3.596
0.916,3.205
2.47,0.893
2.63,2.324
3.987,2.662
1.065,3.971
1.054,3.584
1.388,0.941
1.278,2.56
3.317,1.518
8.194,0.893
4.933,1.331
6.669,0.893
5.269,4.953
2.56,1.263
2.009,4.177
1.514,8.465
2.777,1.603
2.299,0.893
0.964,2.454
3.907,4.209
3.334,2.744
3.317,3.274
2.433,7.44
3.145,4.333
5.725,0.893
3.467,8.758
2.048,2.083
2.381,1.19
1.065,3.287
2.452,1.786
5.881,2.083
3.368,4.23
16.657,0.941
3.765,1.073
4.608,0.842
2.565,3.107
9.972,2.324
5.941,5.274
2.484,6.948
6.87,1.073
3.145,5.059
3.627,2.543
2.41,3.584
1.242,2.931
0.621,6.871
1.421,3.571
1.964,3.327
1.657,7.143
1.704,1.735
2.352,0.665
0.753,1.603
3.012,1.996
3.368,3.88
4.822,3.729
3.987,2.679
3.976,1.488
2.715,1.603
5.645,0.595
1.483,14.495
1.551,4.799
3.72,4.333
3.408,13.577
2.865,5.907
4.111,2.991
2.414,4.474
2.41,3.869
2.259,4.649
2.63,27.766
2.14,11.58
3.768,3.274
1.506,2.167
3.467,5.265
1.717,2.083
