Image 1551,Image 1555
1.562,3.872
0.969,0.54
1.562,4.855
0.361,2.174
0.481,2.187
0.841,3.382
2.55,2.899
3.254,2.428
1.255,2.939
1.202,1.947
2.655,3.655
1.082,1.449
0.991,1.947
0.496,1.947
1.082,1.469
3.368,1.691
1.721,2.701
2.047,1.208
3.504,2.463
2.924,3.149
0.721,1.932
1.567,4.596
1.202,2.701
1.462,2.187
2.885,2.668
1.819,2.668
0.721,1.947
1.322,1.469
1.226,2.463
1.108,1.691
1.202,2.428
3.624,2.428
1.184,1.708
2.885,3.39
0.969,4.355
3.854,3.177
2.669,3.623
1.208,1.208
0.969,2.909
0.806,2.174
1.447,3.872
1.807,2.187
1.082,2.227
0.991,1.208
2.527,1.708
0.731,2.174
0.991,2.428
5.29,1.932
1.927,2.939
1.721,1.758
1.027,2.187
1.567,1.449
0.85,1.232
3.854,3.416
3.846,2.668
0.481,3.223
3.207,4.355
1.208,2.701
0.601,3.14
3.863,1.947
2.043,1.947
1.683,1.469
1.462,1.469
0.962,0.996
1.442,3.39
2.895,3.382
1.082,2.657
1.322,1.691
0.991,2.187
3.848,3.623
1.082,2.988
2.527,3.382
1.447,1.947
1.447,1.708
1.202,2.899
1.487,2.428
1.447,4.106
1.295,2.064
2.404,1.691
3.014,1.758
0.721,2.899
0.969,3.149
0.85,3.655
1.923,2.701
1.462,2.428
0.647,2.668
2.407,1.208
2.416,3.149
0.962,1.301
1.082,3.895
2.057,1.947
1.202,2.187
1.562,1.691
1.938,1.947
1.328,1.84
0.721,3.655
2.655,2.657
1.082,3.39
4.934,3.865
1.447,2.174
3.365,1.932
0.962,1.208
1.108,3.932
1.088,2.754
0.991,1.449
2.644,1.84
1.807,0.996
0.731,1.691
0.496,4.002
1.088,2.298
2.284,3.261
1.923,2.057
1.927,1.146
1.322,0.966
0.962,3.041
1.14,1.094
2.767,1.513
1.613,1.377
0.991,1.208
1.075,1.469
1.108,0.966
1.567,1.695
1.447,0.966
2.047,1.214
2.057,1.087
2.099,0.996
1.447,1.113
1.938,1.729
1.938,0.974
0.76,1.208
1.866,0.845
0.969,0.604
2.287,0.604
0.875,0.966
0.701,
2.431,
0.969,
1.202,
1.108,
1.447,
1.208,
1.562,
1.683,
3.281,
1.7,
1.839,
1.562,
1.938,
1.7,
3.247,
2.775,
1.082,
1.442,
1.322,
2.284,
1.462,
0.962,
0.969,
1.075,
1.75,
0.962,
2.741,
3.606,
0.962,
1.447,
0.969,
1.202,
1.447,
1.462,
1.082,
1.938,
1.687,
1.462,
5.294,
1.447,
0.701,
3.608,
0.867,
0.731,
4.208,
2.644,
2.788,
0.85,
1.442,
0.991,
1.562,
2.431,
2.924,
3.265,
1.442,
1.487,
2.163,
1.923,
1.208,
1.202,
1.442,
1.442,
2.416,
1.604,
0.969,
1.344,
1.208,
3.385,
1.082,
1.082,
1.082,
1.202,
1.202,
1.322,
0.613,
3.014,
1.442,
0.962,
0.721,
0.962,
2.655,
1.226,
2.669,
0.496,
0.841,
1.226,
0.721,
1.088,
1.088,
0.481,
1.322,
1.328,
1.37,
1.923,
0.481,
1.407,
0.76,
3.4,
3.007,
1.957,
3.442,
0.481,
1.635,
2.407,
0.969,
1.295,
1.082,
1.75,
4.268,
2.163,
0.969,
0.962,
1.927,
3.043,
1.322,
1.927,
1.923,
3.488,
1.839,
0.841,
1.683,
0.991,
1.328,
0.962,
0.969,
0.613,
1.442,
1.927,
1.683,
1.447,
0.841,
3.134,
1.9,
3.014,
1.075,
2.057,
3.247,
2.451,
0.969,
1.923,
3.983,
1.487,
1.487,
3.995,
