Image 1316,Image 1535,Image 1549
17.002,13.014,11.705
10.709,5.782,7.822
2.296,5.174,7.584
13.869,7.071,15.194
2.007,2.308,7.181
6.704,4.248,2.817
8.425,3.263,1.747
8.078,3.004,4.941
4.724,6.639,2.104
4.11,7.73,1.747
11.135,3.96,2.21
2.839,4.679,6.102
2.998,3.286,2.817
7.644,8.979,7.514
5.133,4.819,7.514
6.225,3.44,2.501
3.937,10.161,5.524
2.839,6.081,4.454
5.637,5.769,4.225
3.63,3.922,3.706
6.409,4.631,3.36
5.133,4.695,4.367
5.355,2.339,8.212
5.678,3.546,8.734
4.806,5.059,7.422
5.282,1.632,5.687
6.773,9.806,2.762
3.937,3.101,2.47
6.965,3.846,5.078
6.311,4.385,1.992
8.03,3.546,3.051
6.225,6.202,5.002
2.49,5.015,4.832
4.348,5.16,2.47
3.63,3.96,3.051
8.116,4.631,5.975
8.107,3.004,2.47
10.213,6.923,2.47
1.968,11.233,3.906
9.874,8.6,2.501
4.11,2.463,5.313
9.683,15.783,2.501
2.756,15.783,13.332
2.007,8.47,4.078
5.918,20.18,8.734
4.789,6.261,2.104
5.813,3.788,1.953
2.866,7.257,12.234
2.641,9.012,3.221
1.67,9.262,10.611
2.521,5.782,5.241
2.296,3.308,5.241
6.225,5.679,5.255
3.246,3.286,4.555
3.714,4.865,2.62
3.897,5.769,6.652
2.756,7.929,8.673
5.133,2.692,2.844
10.939,3.96,8.24
4.348,14.513,6.176
4.87,9.888,4.894
5.355,6.617,4.152
3.15,14.861,4.314
3.714,16.516,3.601
2.866,11.094,4.297
5.355,6.343,3.685
3.63,13.054,6.64
3.387,10.498,5.138
2.521,7.919,4.704
2.521,5.343,7.181
3.714,6.617,3.36
7.355,8.435,6.064
5.512,4.631,1.953
9.723,4.819,9.448
4.724,5.16,7.704
2.49,4.925,6.548
4.053,2.58,5.95
2.296,3.483,2.344
4.11,5.231,4.555
2.007,6.88,3.685
7.238,4.231,11.488
10.461,6.081,3.685
4.24,9.389,2.501
12.223,5.231,2.762
2.395,4.16,3.847
2.296,6.02,6.359
4.402,4.16,5.687
4.11,5,4.078
4.741,3.077,3.601
7.259,6.081,5.767
5.526,5.769,6.922
3.174,4.142,5.469
6.348,6.02,4.314
5.483,6.717,2.62
3.63,11.18,2.278
3.565,8.177,2.47
1.67,5.769,2.62
2.641,9.174,3.494
6.493,7.74,2.975
9.587,9.31,4.225
5.568,4.142,2.47
3.63,5.439,3.847
3.937,5.131,2.975
4.015,7.73,4.555
