Image 1620,Image 1640,Image 1642
3.902,0.719,1.113
1.62,0.318,0.758
1.62,0.405,0.815
1.528,0.562,1.429
1.528,0.405,0.715
1.301,0.655,0.639
1.301,0.502,0.815
1.08,0.605,1.318
1.408,0.605,0.659
1.208,0.562,1.68
0.996,1.06,0.724
7.718,0.655,0.639
7.042,0.953,1.072
0.871,0.81,1.618
1.025,1.036,0.965
1.208,0.605,0.608
0.871,1.107,0.659
1.62,1.636,1.825
0.996,0.81,1.113
0.683,0.655,0.911
1.301,0.502,2.037
1.08,1.367,0.932
1.208,1.461,0.715
0.54,1.066,0.965
1.528,0.927,1.042
0.871,0.711,1.429
1.992,0.562,0.911
1.62,0.899,0.861
1.025,0.878,0.911
1.62,0.953,0.932
1.301,0.856,2.439
1.301,1.107,0.758
3.517,1.281,1.163
0.725,1.507,1.263
1.232,0.906,0.357
1.528,1.256,1.894
1.708,0.856,0.883
0.966,0.96,1.864
0.996,1.107,0.861
1.708,1.759,1.754
4.128,1.565,1.375
2.292,1.005,1.152
1.301,1.21,1.066
1.742,1.036,1.217
0.996,0.818,0.965
1.62,0.655,1.318
,0.655,0.715
,0.96,0.861
,1.066,1.263
,1.124,
,0.502,
,1.124,
,1.112,
