Source File,Image ID,Volume (nm3)
RT-BF-irr.csv,Image 1316,12418880
RT-BF-irr.csv,Image 1535,12418880
RT-BF-irr.csv,Image 1549,12418880
RT-DF-irr.csv,Image 1620,5242880
RT-DF-irr.csv,Image 1640,1058000
RT-DF-irr.csv,Image 1642,1058000
900-BF-irr.csv,Image 0921,12545280
900-BF-irr.csv,Image 1529,12545280
900-DF-irr.csv,Image 1615,2827520
900-DF-irr.csv,Image 1616,13382480
1100-BF-irr.csv,Image 1449,12545280
1100-BF-irr.csv,Image 1155,54054720
1100-DF-irr.csv,Image 1119,7539920
1100-DF-irr.csv,Image 1135,2767680
1300-BF-irr.csv,Image 1645,53660880
1300-BF-irr.csv,Image 1728,21632000
1300-DF-irr.csv,Image 1655,4841280
1300-DF-irr.csv,Image 1722,4665780
RT-BF.csv,Image 1353,12608720
RT-DF.csv,Image 1135,2857680
900-BF.csv,Image 1540,7442000
900-BF.csv,Image 1544,7442000
900-DF.csv,Image 1551,4841280
900-DF.csv,Image 1555,4880720
